date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,SPG,2020-05-11,None,Q1,1353360000,105624000,1247736000,0.921954247207,0.0,6894000.0,0.0,61367000,68261000,698491000,0.0,340265000,995134000,0.735306200863,654869000,0.483883815097,0.0,504617000,0.372862357392,0.0,437605000,0.323347076905,1.43,1.43,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837020006251/0001558370-20-006251-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837020006251/spg-20200331x10q.htm
2019-12-31,SPG,2020-02-21,2020-02-21 10:36:58,FY,1488615000,0.0,1488615000,1.0,0.0,7332000.0,0.0,704407000,711739000,711739000,189812000,339065000,339065000,0.22777212375261568,0.0,0.0,103202000,0.0,0.0,0.0,835135000,0.0,6.81,6.81,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837020001135/0001558370-20-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837020001135/spg-20191231x10k.htm
2019-09-30,SPG,2019-11-06,2019-11-06 08:24:08,Q3,1416555000,121735000,1294820000,0.9140626378785152,0.0,8032000.0,0.0,58665000,66697000,711253000,202381000,343359000,1048661000,0.74028964636,705302000,0.497899481489,79670000,636898000,0.44961049871,0.0,544254000,0.384209578873,1.77,1.77,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837019010077/0001558370-19-010077-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019010077/spg-20190930x10q.htm
2019-06-30,SPG,2019-08-07,2019-08-07 06:30:44,Q2,1397185000,217669000,1179516000,0.8442088914495933,0.0,10360000,0.0,711510000,721870000,721870000,198427000,371830000,1047145000,0.749467679656,675315000,0.483339715213,70372000,563080000,0.403010338645,0.0,495324000,0.354515686899,1.6,1.6,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837019007355/0001558370-19-007355-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019007355/spg-20190630x10q.htm
2019-03-31,SPG,2019-05-08,2019-05-08 06:16:37,Q1,1452834000,0.0,1452834000,1.0,0.0,9136000.0,0.0,168776000,177912000,702496000,0.0,339918000,1090256000,0.750433979381,750338000,0.516465060702,0.0,637777000,0.438988212005,0.0,548475000,0.377520762868,1.78,1.78,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837019004352/0001558370-19-004352-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019004352/spg-20190331x10q.htm
2018-12-31,SPG,2019-02-22,2019-02-22 06:47:24,FY,1460742000,115216000,1345526000,0.9211250172857356,0.0,10830000,0.0,83291000,94121000,706653000,204338000,340105000,1094194000,0.749067254861,754089000,0.516236953548,326575000,824782000,0.564632221159,0.0,712796000,0.487968443435,2.3,2.3,2006.0,2006.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837019000875/0001558370-19-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019000875/spg-20181231x10k.htm
2018-09-30,SPG,2018-11-02,2018-11-02 06:22:42,Q3,1409005000,119020000,1289985000,0.9155290435449129,0.0,12171000,0.0,63604000,75775000,691614000,199470000,335604000,1052995000,0.747332337359,717391000,0.509147235106,90562000,638259000,0.45298561751,0.0,556267000,0.394794198743,1.8,1.8,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837018008301/0001558370-18-008301-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018008301/spg-20180930x10q.htm
2018-06-30,SPG,2018-08-02,2018-08-02 06:11:29,Q2,1388358000,102952000,1285406000,0.9258462154573964,0.0,10914000,0.0,47366000,58280000,650684000,206623000,339395000,1077069000,0.775786216523,737674000,0.531328374958,97821000,616956000,0.444378179115,6220000.0,547004000,0.393993480068,1.77,1.77,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837018006144/0001558370-18-006144-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018006144/spg-20180630x10q.htm
2018-03-31,SPG,2018-05-03,2018-05-03 06:17:10,Q1,1399814000,113448000,1286366000,0.918954946872,0.0,12628000,0.0,66302000,78930000,697881000,0.0,334672000,1036605000,0.740530527627,701933000,0.501447335146,0.0,724334000,0.517450175523,0.0,620654000,0.443383192338,2.0,2.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837018003817/0001558370-18-003817-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018003817/spg-20180331x10q.htm
2017-12-31,SPG,2018-02-23,2018-02-23 06:36:17,FY,1427692000,112951000,1314741000,0.9208855971736201,0.0,11883000,0.0,71214000,83097000,678240000,204985000,345016000,1094468000,0.766599518664,749452000,0.524939552789,290515000,660646000,0.462737060935,0.0,571116000,0.400027456902,1.83,1.83,1976.0,1976.0,https://www.sec.gov/Archives/edgar/data/1063761/000155837018000981/0001558370-18-000981-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018000981/spg-20171231x10k.htm
